Defect	CVE	NVD Description	CWE
Cleartext Transmission of Sensitive Information	CVE-2023-23914	A cleartext transmission of sensitive information vulnerability exists in curl <v7.88.0 that could cause HSTS functionality fail when multiple URLs are requested serially. Using its HSTS support, curl can be instructed to use HTTPS instead of usingan insecure clear-text HTTP step even when HTTP is provided in the URL. ThisHSTS mechanism would however surprisingly be ignored by subsequent transferswhen done on the same command line because the state would not be properlycarried on.	319
Cleartext Transmission of Sensitive Information	CVE-2023-23915	A cleartext transmission of sensitive information vulnerability exists in curl <v7.88.0 that could cause HSTS functionality to behave incorrectly when multiple URLs are requested in parallel. Using its HSTS support, curl can be instructed to use HTTPS instead of using an insecure clear-text HTTP step even when HTTP is provided in the URL. This HSTS mechanism would however surprisingly fail when multiple transfers are done in parallel as the HSTS cache file gets overwritten by the most recentlycompleted transfer. A later HTTP-only transfer to the earlier host name would then *not* get upgraded properly to HSTS.	319
NULL Pointer Dereference	CVE-2023-1355	NULL Pointer Dereference in GitHub repository vim/vim prior to 9.0.1402.	476
NULL Pointer Dereference	CVE-2023-1264	NULL Pointer Dereference in GitHub repository vim/vim prior to 9.0.1392.	476
Incorrect Calculation of Buffer Size	CVE-2023-1175	Incorrect Calculation of Buffer Size in GitHub repository vim/vim prior to 9.0.1378.	131
Heap-based Buffer Overflow	CVE-2023-1170	Heap-based Buffer Overflow in GitHub repository vim/vim prior to 9.0.1376.	122
Divide By Zero	CVE-2023-1127	Divide By Zero in GitHub repository vim/vim prior to 9.0.1367.	369
NULL Pointer Dereference	CVE-2022-47015	MariaDB Server before 10.3.34 thru 10.9.3 is vulnerable to Denial of Service. It is possible for function spider_db_mbase::print_warnings to dereference a null pointer.	476
Improper Input Validation	CVE-2023-24329	An issue in the urllib.parse component of Python before v3.11 allows attackers to bypass blocklisting methods by supplying a URL that starts with blank characters.	20
Cryptographic Issues	CVE-2012-0039	"** DISPUTED ** GLib 2.31.8 and earlier, when the g_str_hash function is used, computes hash values without restricting the ability to trigger hash collisions predictably, which allows context-dependent attackers to cause a denial of service (CPU consumption) via crafted input to an application that maintains a hash table. NOTE: this issue may be disputed by the vendor; the existence of the g_str_hash function is not a vulnerability in the library, because callers of g_hash_table_new and g_hash_table_new_full can specify an arbitrary hash function that is appropriate for the application."	310
Out-of-bounds Read	CVE-2022-48303	GNU Tar through 1.34 has a one-byte out-of-bounds read that results in use of uninitialized memory for a conditional jump. Exploitation to change the flow of control has not been demonstrated. The issue occurs in from_header in list.c via a V7 archive in which mtime has approximately 11 whitespace characters.	125
NULL Pointer Dereference	CVE-2022-47024	A null pointer dereference issue was discovered in function gui_x11_create_blank_mouse in gui_x11.c in vim 8.1.2269 thru 9.0.0339 allows attackers to cause denial of service or other unspecified impacts.	476
Heap-based Buffer Overflow	CVE-2023-0433	Heap-based Buffer Overflow in GitHub repository vim/vim prior to 9.0.1225.	122
Heap-based Buffer Overflow	CVE-2023-0288	Heap-based Buffer Overflow in GitHub repository vim/vim prior to 9.0.1189.	122
Heap-based Buffer Overflow	CVE-2023-0051	Heap-based Buffer Overflow in GitHub repository vim/vim prior to 9.0.1144.	122
